,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
10,600036.XSHG,600036,招商银行,XSHG,2021-10-15,52.36,52.36,52.45,53.44,52.35,53.31,42035759,2230147908,76673,0.002,1,1099729025964,1344469968936,0.0181,12.3682,10.9932,1.781,1,53.054
11,600036.XSHG,600036,招商银行,XSHG,2021-10-18,53.31,53.31,53.31,53.35,51.55,51.86,57794539,3008070372,126902,0.0028,1,1069817056584,1307901192816,-0.0272,12.0318,10.6942,1.7326,1,52.048
12,600036.XSHG,600036,招商银行,XSHG,2021-10-19,51.86,51.86,52.25,53.32,52.0,52.88,48169257,2545615998,88442,0.0023,1,1090858579872,1333625435328,0.0197,11.6623,10.6844,1.6903,1,52.847
13,600036.XSHG,600036,招商银行,XSHG,2021-10-20,52.88,52.88,53.21,53.64,52.28,52.4,30570959,1612336024,63037,0.0015,1,1080956686560,1321519909440,-0.0091,11.5564,10.5874,1.675,1,52.741
14,600036.XSHG,600036,招商银行,XSHG,2021-10-21,52.4,52.4,52.85,54.0,52.6,53.75,57658698,3084324265,104968,0.0028,1,1108805761500,1355566701000,0.0258,11.8541,10.8602,1.7182,1,53.493
15,600036.XSHG,600036,招商银行,XSHG,2021-10-22,53.75,53.75,54.09,54.8,53.73,54.29,54715058,2967094160,105643,0.0027,1,1119945391476,1369185417624,0.01,11.9732,10.9693,1.7354,1,54.228
16,600036.XSHG,600036,招商银行,XSHG,2021-10-25,54.29,54.29,53.83,54.93,53.1,54.59,62334126,3376970796,104431,0.003,1,1126134074796,1376751371304,0.0055,12.0394,11.0299,1.745,1,54.175
17,600036.XSHG,600036,招商银行,XSHG,2021-10-26,54.59,54.59,54.59,56.23,54.3,55.3,71542369,3961794950,123366,0.0035,1,1140780625320,1394657461680,0.013,12.196,11.1733,1.7677,1,55.377
18,600036.XSHG,600036,招商银行,XSHG,2021-10-27,55.3,55.3,55.2,55.2,53.83,54.52,42039441,2287323386,83294,0.002,1,1124690048688,1374985982112,-0.0141,12.0239,11.0158,1.7428,1,54.409
19,600036.XSHG,600036,招商银行,XSHG,2021-10-28,54.52,54.52,54.3,55.0,53.85,54.22,34623228,1883008799,70419,0.0017,1,1118501365368,1367420028432,-0.0055,11.9578,10.9551,1.7332,1,54.386
20,600036.XSHG,600036,招商银行,XSHG,2021-10-29,54.22,54.22,54.22,54.75,53.7,53.97,40543943,2197661117,77256,0.002,1,1113344129268,1361115067032,-0.0046,11.9026,10.9046,1.7252,1,54.204
21,600036.XSHG,600036,招商银行,XSHG,2021-11-01,53.97,53.97,54.0,54.9,53.3,54.12,42501781,2300857413,82641,0.0021,1,1116438470928,1364898043872,0.0028,11.9357,10.9349,1.73,1,54.136
22,600036.XSHG,600036,招商银行,XSHG,2021-11-02,54.12,54.12,54.35,54.49,51.67,52.25,75220649,3957181527,139384,0.0036,1,1077862344900,1317736932600,-0.0346,11.5233,10.5571,1.6702,1,52.608
23,600036.XSHG,600036,招商银行,XSHG,2021-11-03,52.25,52.25,52.35,52.49,51.67,51.7,44437241,2312474223,85498,0.0022,1,1066516425480,1303866017520,-0.0105,11.402,10.446,1.6526,1,52.039
24,600036.XSHG,600036,招商银行,XSHG,2021-11-04,51.7,51.7,52.0,52.1,51.28,51.75,48291475,2492815499,83049,0.0023,1,1067547872700,1305127009800,0.001,11.413,10.4561,1.6542,1,51.62
25,600036.XSHG,600036,招商银行,XSHG,2021-11-05,51.75,51.75,51.72,52.11,51.42,51.56,36197416,1871325317,69792,0.0018,1,1063628373264,1300335239136,-0.0037,11.3711,10.4177,1.6481,1,51.698
26,600036.XSHG,600036,招商银行,XSHG,2021-11-08,51.56,51.56,51.32,51.9,50.8,51.3,38674906,1984383358,64754,0.0019,1,1058264847720,1293778079280,-0.005,11.3138,10.3652,1.6398,1,51.309
27,600036.XSHG,600036,招商银行,XSHG,2021-11-09,51.3,51.3,51.4,51.7,50.6,51.06,38788364,1979827705,73107,0.0019,1,1053313901064,1287725316336,-0.0047,11.2609,10.3167,1.6322,1,51.042
28,600036.XSHG,600036,招商银行,XSHG,2021-11-10,51.06,51.06,51.06,51.15,50.04,50.63,55807106,2812533072,97797,0.0027,1,1044443454972,1276880782728,-0.0084,11.166,10.2298,1.6184,1,50.397
29,600036.XSHG,600036,招商银行,XSHG,2021-11-11,50.63,50.63,50.55,52.87,50.46,52.82,84973170,4430680097,123675,0.0041,1,1089620843208,1332112244592,0.0433,11.649,10.6723,1.6884,1,52.142
30,600036.XSHG,600036,招商银行,XSHG,2021-11-12,52.82,52.82,52.82,53.18,52.25,52.4,34359656,1807134405,64134,0.0017,1,1080956686560,1321519909440,-0.008,11.5564,10.5874,1.675,1,52.595
31,600036.XSHG,600036,招商银行,XSHG,2021-11-15,52.4,52.4,52.79,53.61,52.37,52.93,36695032,1941710247,67823,0.0018,1,1091890027092,1334886427608,0.0101,11.6733,10.6945,1.6919,1,52.915
32,600036.XSHG,600036,招商银行,XSHG,2021-11-16,52.93,52.93,52.9,53.38,52.16,52.5,32231509,1699581537,70298,0.0016,1,1083019581000,1324041894000,-0.0081,11.5784,10.6076,1.6782,1,52.73
33,600036.XSHG,600036,招商银行,XSHG,2021-11-17,52.5,52.5,52.22,52.83,51.81,51.84,33938551,1768981458,76663,0.0016,1,1069404477696,1307396795904,-0.0126,11.4329,10.4743,1.6571,1,52.123
34,600036.XSHG,600036,招商银行,XSHG,2021-11-18,51.84,51.84,51.8,52.0,51.0,51.41,34244267,1762554164,76696,0.0017,1,1060534031604,1296552262296,-0.0083,11.3381,10.3874,1.6434,1,51.47
35,600036.XSHG,600036,招商银行,XSHG,2021-11-19,51.41,51.41,51.48,52.74,51.11,52.33,46466797,2419758611,92927,0.0023,1,1079512660452,1319754520248,0.0179,11.541,10.5733,1.6728,1,52.075
36,600036.XSHG,600036,招商银行,XSHG,2021-11-22,52.33,52.33,52.1,52.34,51.59,51.69,37653834,1952025765,73234,0.0018,1,1066310136036,1303613819064,-0.0122,11.3998,10.4439,1.6523,1,51.841
37,600036.XSHG,600036,招商银行,XSHG,2021-11-23,51.69,51.69,51.75,52.3,51.44,51.75,38914891,2014132978,68869,0.0019,1,1067547872700,1305127009800,0.0012,11.413,10.4561,1.6542,1,51.757
38,600036.XSHG,600036,招商银行,XSHG,2021-11-24,51.75,51.75,51.59,51.9,51.17,51.74,31503965,1622099211,56555,0.0015,1,1067341583256,1304874811344,-0.0002,11.4108,10.4541,1.6539,1,51.489
39,600036.XSHG,600036,招商银行,XSHG,2021-11-25,51.74,51.74,51.7,51.7,51.24,51.42,21566020,1107928517,45253,0.001,1,1060740321048,1296804460752,-0.0062,11.3403,10.3894,1.6437,1,51.374
40,600036.XSHG,600036,招商银行,XSHG,2021-11-26,51.42,51.42,51.2,51.45,49.88,50.1,82335731,4141774917,159815,0.004,1,1033510114440,1263514264560,-0.0257,11.0491,10.1227,1.6015,1,50.303
41,600036.XSHG,600036,招商银行,XSHG,2021-11-29,50.1,50.1,49.78,50.1,48.82,49.82,82724704,4081227201,156421,0.004,1,1027734010008,1256452707792,-0.0056,10.9874,10.0661,1.5925,1,49.335
42,600036.XSHG,600036,招商银行,XSHG,2021-11-30,49.82,49.82,49.48,49.85,48.91,49.49,61004256,3008854122,113600,0.003,1,1020926458356,1248130158744,-0.0066,10.9146,9.9994,1.582,1,49.322
43,600036.XSHG,600036,招商银行,XSHG,2021-12-01,49.49,49.49,49.48,50.2,49.28,49.99,50036103,2498326167,107841,0.0024,1,1031240930556,1260740081544,0.0101,11.0249,10.1005,1.598,1,49.93
44,600036.XSHG,600036,招商银行,XSHG,2021-12-02,49.99,49.99,50.01,51.0,49.49,50.89,55607048,2814606846,93825,0.0027,1,1049806980516,1283437942584,0.018,11.2234,10.2823,1.6267,1,50.616
45,600036.XSHG,600036,招商银行,XSHG,2021-12-03,50.89,50.89,51.07,51.28,50.47,51.25,49407647,2518566499,110597,0.0024,1,1057233400500,1292517087000,0.0071,11.3028,10.355,1.6382,1,50.975
46,600036.XSHG,600036,招商银行,XSHG,2021-12-06,51.25,51.25,51.49,52.4,51.33,51.82,60471643,3140183373,105483,0.0029,1,1068991898808,1306892398992,0.0111,11.4285,10.4702,1.6565,1,51.928
47,600036.XSHG,600036,招商银行,XSHG,2021-12-07,51.82,51.82,52.29,52.58,51.1,51.84,54077371,2797815012,109201,0.0026,1,1069404477696,1307396795904,0.0004,11.4329,10.4743,1.6571,1,51.737
48,600036.XSHG,600036,招商银行,XSHG,2021-12-08,51.84,51.84,51.98,52.28,51.4,52.04,49097472,2543266829,104892,0.0024,1,1073530266576,1312440765024,0.0039,11.477,10.5147,1.6635,1,51.8
49,600036.XSHG,600036,招商银行,XSHG,2021-12-09,52.04,52.04,52.25,53.84,51.8,53.13,84055721,4454333955,139481,0.0041,1,1096015815972,1339930396728,0.0209,11.7174,10.7349,1.6983,1,52.993
50,600036.XSHG,600036,招商银行,XSHG,2021-12-10,53.13,53.13,52.9,53.49,52.68,53.49,56426281,2996780162,97968,0.0027,1,1103442235956,1349009541144,0.0068,11.7968,10.8076,1.7098,1,53.11
51,600036.XSHG,600036,招商银行,XSHG,2021-12-13,53.49,53.49,53.56,54.2,52.41,52.42,64554566,3432179789,112578,0.0031,1,1081369265448,1322024306352,-0.02,11.5608,10.5914,1.6756,1,53.167
52,600036.XSHG,600036,招商银行,XSHG,2021-12-14,52.42,52.42,52.32,52.5,50.85,51.15,81062947,4165403558,128879,0.0039,1,1055170506060,1289995102440,-0.0242,11.2807,10.3348,1.635,1,51.385
53,600036.XSHG,600036,招商银行,XSHG,2021-12-15,51.15,51.15,51.0,51.34,50.78,51.0,37849327,1929195599,76706,0.0018,1,1052076164400,1286212125600,-0.0029,11.2476,10.3045,1.6302,1,50.97
54,600036.XSHG,600036,招商银行,XSHG,2021-12-16,51.0,51.0,50.91,51.3,50.61,51.2,38365339,1957514899,67662,0.0019,1,1056201953280,1291256094720,0.0039,11.2917,10.3449,1.6366,1,51.023
55,600036.XSHG,600036,招商银行,XSHG,2021-12-17,51.2,51.2,51.09,51.4,50.66,50.77,47644905,2422698276,76053,0.0023,1,1047331507188,1280411561112,-0.0084,11.1969,10.2581,1.6229,1,50.849
56,600036.XSHG,600036,招商银行,XSHG,2021-12-20,50.77,50.77,50.7,51.3,50.39,50.69,47082627,2394420816,81463,0.0023,1,1045681191636,1278393973464,-0.0016,11.1793,10.2419,1.6203,1,50.856
57,600036.XSHG,600036,招商银行,XSHG,2021-12-21,50.69,50.69,50.65,50.99,50.3,50.63,35694442,1808288477,65908,0.0017,1,1044443454972,1276880782728,-0.0012,11.166,10.2298,1.6184,1,50.66
58,600036.XSHG,600036,招商银行,XSHG,2021-12-22,50.63,50.63,50.63,50.75,49.88,50.01,43682819,2189842100,101486,0.0021,1,1031653509444,1261244478456,-0.0122,11.0293,10.1045,1.5986,1,50.131
59,600036.XSHG,600036,招商银行,XSHG,2021-12-23,50.01,50.01,50.11,50.26,49.68,50.22,42370871,2115301002,81562,0.0021,1,1035985587768,1266540646032,0.0042,11.0756,10.1469,1.6053,1,49.923
60,600036.XSHG,600036,招商银行,XSHG,2021-12-24,50.22,50.22,50.22,50.22,49.84,49.86,34465068,1721265879,65398,0.0017,1,1028559167784,1257461501616,-0.0072,10.9962,10.0742,1.5938,1,49.942
61,600036.XSHG,600036,招商银行,XSHG,2021-12-27,49.86,49.86,49.87,50.06,49.0,49.33,73594333,3634240465,109485,0.0036,1,1017625827252,1244094983448,-0.0106,10.8793,9.9671,1.5769,1,49.382
62,600036.XSHG,600036,招商银行,XSHG,2021-12-28,49.33,49.33,49.33,49.8,49.2,49.63,65322073,3237655243,89054,0.0032,1,1023814510572,1251660937128,0.0061,10.9455,10.0277,1.5865,1,49.564
63,600036.XSHG,600036,招商银行,XSHG,2021-12-29,49.63,49.63,49.67,49.72,47.61,47.62,143890268,6964711566,236038,0.007,1,982350332328,1200969047472,-0.0405,10.5022,9.6216,1.5222,1,48.403
64,600036.XSHG,600036,招商银行,XSHG,2021-12-30,47.62,47.62,47.89,48.78,47.66,48.5,96791651,4682207989,128718,0.0047,1,1000503803400,1223162511600,0.0185,10.6963,9.7994,1.5503,1,48.374
65,600036.XSHG,600036,招商银行,XSHG,2021-12-31,48.5,48.5,48.54,48.88,48.33,48.71,49293501,2399746929,78053,0.0024,1,1004835881724,1228458679176,0.0043,10.7426,9.8418,1.557,1,48.683
66,600036.XSHG,600036,招商银行,XSHG,2022-01-04,48.71,48.71,48.71,48.71,47.51,48.35,71960645,3452352170,128598,0.0035,1,997409461740,1219379534760,-0.0074,10.6632,9.7691,1.5455,1,47.976
67,600036.XSHG,600036,招商银行,XSHG,2022-01-05,48.35,48.35,48.49,49.68,48.4,49.05,83717375,4114524304,135221,0.0041,1,1011849722820,1237033426680,0.0145,10.8176,9.9105,1.5679,1,49.148
68,600036.XSHG,600036,招商银行,XSHG,2022-01-06,49.05,49.05,48.82,49.39,48.1,48.15,68186664,3299825727,111374,0.0033,1,993283672860,1214335565640,-0.0183,10.6191,9.7287,1.5391,1,48.394
69,600036.XSHG,600036,招商银行,XSHG,2022-01-07,48.15,48.15,48.14,49.14,48.04,49.05,66073705,3219523408,103083,0.0032,1,1011849722820,1237033426680,0.0187,10.8176,9.9105,1.5679,1,48.726
70,600036.XSHG,600036,招商银行,XSHG,2022-01-10,49.05,49.05,49.47,50.0,48.91,49.23,57093634,2818145071,93197,0.0028,1,1015562932812,1241572998888,0.0037,10.8573,9.9469,1.5737,1,49.36
71,600036.XSHG,600036,招商银行,XSHG,2022-01-11,49.23,49.23,49.49,50.1,48.89,49.85,71561748,3558651499,110083,0.0035,1,1028352878340,1257209303160,0.0126,10.994,10.0722,1.5935,1,49.728
72,600036.XSHG,600036,招商银行,XSHG,2022-01-12,49.85,49.85,49.87,50.1,49.19,49.76,51841118,2574764177,80497,0.0025,1,1026496273344,1254939517056,-0.0018,10.9742,10.054,1.5906,1,49.666
73,600036.XSHG,600036,招商银行,XSHG,2022-01-13,49.76,49.76,49.85,50.05,49.12,49.34,40140754,1989903367,67495,0.0019,1,1017832116696,1244347181904,-0.0084,10.8815,9.9691,1.5772,1,49.573
74,600036.XSHG,600036,招商银行,XSHG,2022-01-14,49.34,49.34,49.47,49.47,48.0,48.02,66657098,3218203400,117413,0.0032,1,990601910088,1211056985712,-0.0268,10.5904,9.7024,1.535,1,48.28
75,600036.XSHG,600036,招商银行,XSHG,2022-01-17,48.02,48.02,48.37,48.85,47.89,48.58,53180761,2574842950,90323,0.0026,1,1002154118952,1225180099248,0.0117,10.7139,9.8156,1.5529,1,48.417
76,600036.XSHG,600036,招商银行,XSHG,2022-01-18,48.58,48.58,48.65,49.34,48.28,49.01,57907708,2835126315,89609,0.0028,1,1011024565044,1236024632856,0.0089,10.8088,9.9025,1.5666,1,48.959
77,600036.XSHG,600036,招商银行,XSHG,2022-01-19,49.01,49.01,49.47,49.98,49.11,49.7,62028026,3078947655,108749,0.003,1,1025258536680,1253426326320,0.0141,10.9609,10.0419,1.5887,1,49.638
78,600036.XSHG,600036,招商银行,XSHG,2022-01-20,49.7,49.7,49.88,51.89,49.88,51.37,138624871,7089347716,215891,0.0067,1,1059708873828,1295543468472,0.0336,11.3292,10.3793,1.6421,1,51.141
79,600036.XSHG,600036,招商银行,XSHG,2022-01-21,51.37,51.37,51.39,52.0,51.21,51.82,85808094,4439219181,129165,0.0042,1,1068991898808,1306892398992,0.0088,11.4285,10.4702,1.6565,1,51.734
80,600036.XSHG,600036,招商银行,XSHG,2022-01-24,51.82,51.82,51.95,52.0,51.03,51.85,63815520,3288272324,102536,0.0031,1,1069610767140,1307648994360,0.0006,11.4351,10.4763,1.6574,1,51.528
81,600036.XSHG,600036,招商银行,XSHG,2022-01-25,51.85,51.85,51.55,51.79,50.7,50.9,58351289,2987207430,88447,0.0028,1,1050013269960,1283690141040,-0.0183,11.2256,10.2843,1.6271,1,51.194
82,600036.XSHG,600036,招商银行,XSHG,2022-01-26,50.9,50.9,51.25,51.49,50.6,51.0,43669628,2226767107,76464,0.0021,1,1052076164400,1286212125600,0.002,11.2476,10.3045,1.6302,1,50.991
83,600036.XSHG,600036,招商银行,XSHG,2022-01-27,51.0,51.0,50.9,51.18,50.12,50.77,52940057,2687973691,80142,0.0026,1,1047331507188,1280411561112,-0.0045,11.1969,10.2581,1.6229,1,50.774
84,600036.XSHG,600036,招商银行,XSHG,2022-01-28,50.77,50.77,51.05,51.2,49.15,49.21,71514411,3576839774,121365,0.0035,1,1015150353924,1241068601976,-0.0307,10.8529,9.9429,1.573,1,50.016
85,600036.XSHG,600036,招商银行,XSHG,2022-02-07,49.21,49.21,50.3,51.5,50.13,51.35,73234913,3741572656,116662,0.0036,1,1059296294940,1295039071560,0.0435,11.3248,10.3753,1.6414,1,51.09
86,600036.XSHG,600036,招商银行,XSHG,2022-02-08,51.35,51.35,51.55,52.0,50.99,51.71,52824176,2724121499,101311,0.0026,1,1066722714924,1304118215976,0.007,11.4042,10.448,1.6529,1,51.57
87,600036.XSHG,600036,招商银行,XSHG,2022-02-09,51.71,51.71,51.9,52.34,51.28,51.62,51220706,2651984749,96123,0.0025,1,1064866109928,1301848429872,-0.0017,11.3844,10.4298,1.6501,1,51.776
88,600036.XSHG,600036,招商银行,XSHG,2022-02-10,51.62,51.62,51.9,51.9,51.0,51.71,33554247,1725040529,67794,0.0016,1,1066722714924,1304118215976,0.0017,11.4042,10.448,1.6529,1,51.41
89,600036.XSHG,600036,招商银行,XSHG,2022-02-11,51.71,51.71,51.82,53.0,51.65,52.76,80993265,4267478082,107012,0.0039,1,1088383106544,1330599053856,0.0203,11.6358,10.6601,1.6865,1,52.689
90,600036.XSHG,600036,招商银行,XSHG,2022-02-14,52.76,52.76,52.99,52.99,51.0,51.2,59405166,3060509962,93752,0.0029,1,1056201953280,1291256094720,-0.0296,11.2917,10.3449,1.6366,1,51.519
91,600036.XSHG,600036,招商银行,XSHG,2022-02-15,51.2,51.2,50.95,51.38,49.95,50.22,56617903,2851170329,103851,0.0027,1,1035985587768,1266540646032,-0.0191,11.0756,10.1469,1.6053,1,50.358
92,600036.XSHG,600036,招商银行,XSHG,2022-02-16,50.22,50.22,50.56,51.36,50.23,51.07,40495579,2065162806,71648,0.002,1,1053520190508,1287977514792,0.0169,11.2631,10.3187,1.6325,1,50.997
93,600036.XSHG,600036,招商银行,XSHG,2022-02-17,51.07,51.07,51.27,51.98,50.92,51.46,44157043,2281127847,75261,0.0021,1,1061565478824,1297813254576,0.0076,11.3491,10.3975,1.645,1,51.659
94,600036.XSHG,600036,招商银行,XSHG,2022-02-18,51.46,51.46,51.25,52.11,51.25,52.06,35439010,1837821806,60655,0.0017,1,1073942845464,1312945161936,0.0117,11.4814,10.5187,1.6641,1,51.859
95,600036.XSHG,600036,招商银行,XSHG,2022-02-21,52.06,52.06,51.83,51.89,51.01,51.76,31345076,1610843080,59388,0.0015,1,1067754162144,1305379208256,-0.0058,11.4152,10.4581,1.6545,1,51.391
96,600036.XSHG,600036,招商银行,XSHG,2022-02-22,51.76,51.76,51.08,51.35,50.74,51.22,36983993,1887326607,63641,0.0018,1,1056614532168,1291760491632,-0.0104,11.2962,10.349,1.6373,1,51.031
